geneID,geneID2,base_mean,coeff_log2,coeff_natural,pvalue,qval,FDR,gene_symbol
ENSG00000137460,ENSG00000137460.8,1.837104071,0.011187723,1.007784884,2.40E-07,6.67E-05,0.000311357,FHDC1
ENSG00000146250,ENSG00000146250.6,-1.287779467,-0.012757009,0.991196495,3.99E-07,9.69E-05,0.000311357,PRSS35
ENSG00000152270,ENSG00000152270.8,7.732469854,-0.005261544,0.996359618,2.40E-07,6.66E-05,0.000311357,PDE3B
ENSG00000155962,ENSG00000155962.12,3.538990068,0.011200599,1.007793879,3.70E-07,9.20E-05,0.000311357,CLIC2
ENSG00000157554,ENSG00000157554.18,0.429102298,0.014470022,1.010080323,4.00E-07,9.71E-05,0.000311357,ERG
ENSG00000158006,ENSG00000158006.13,5.032987768,-0.00460939,0.996810113,4.14E-07,9.95E-05,0.000311357,PAFAH2
ENSG00000161381,ENSG00000161381.13,2.876786644,-0.009951732,0.993125722,3.99E-07,9.71E-05,0.000311357,PLXDC1
ENSG00000163221,ENSG00000163221.8,5.971483682,0.012779336,1.008897308,3.26E-07,8.40E-05,0.000311357,S100A12
ENSG00000163565,ENSG00000163565.18,7.884174312,0.005965935,1.004143833,2.95E-07,7.81E-05,0.000311357,IFI16
ENSG00000168528,ENSG00000168528.11,-0.053156814,0.014345317,1.009993016,3.98E-07,9.67E-05,0.000311357,SERINC2
ENSG00000173480,ENSG00000173480.10,5.38696615,-0.003043529,0.99789261,1.71E-07,5.05E-05,0.000311357,ZNF417
ENSG00000176533,ENSG00000176533.12,3.014288318,-0.008979196,0.993795424,3.56E-07,8.96E-05,0.000311357,GNG7
ENSG00000185880,ENSG00000185880.12,6.133358001,0.005134605,1.003565378,2.47E-07,6.82E-05,0.000311357,TRIM69
ENSG00000186417,ENSG00000186417.13,-1.478964098,0.010669542,1.007422978,2.38E-07,6.62E-05,0.000311357,GLDN
ENSG00000187824,ENSG00000187824.8,0.999206564,-0.010038843,0.993065758,2.97E-07,7.85E-05,0.000311357,TMEM220
ENSG00000198734,ENSG00000198734.10,6.300448339,0.008998506,1.006256781,1.83E-07,5.35E-05,0.000311357,F5
ENSG00000228956,ENSG00000228956.8,4.964372359,-0.008065361,0.994425115,2.75E-07,7.40E-05,0.000311357,SATB1-AS1
ENSG00000232229,ENSG00000232229.5,1.630900429,-0.01010212,0.993022203,4.30E-07,0.000102112,0.000311357,LINC00865
