geneID,geneID2,base_mean,coeff_log2,coeff_natural,pvalue,qval,FDR,gene_symbol
ENSG00000166428,ENSG00000166428.12,3.229741077,-0.01788901,0.987676843,2.01E-07,2.53E-05,0.000124313,PLD4
ENSG00000168615,ENSG00000168615.11,4.826150813,0.009728217,1.006765872,2.22E-07,2.74E-05,0.000124313,ADAM9
ENSG00000171385,ENSG00000171385.9,0.243219872,-0.02308746,0.98412436,1.71E-07,2.22E-05,0.000124313,KCND3
ENSG00000172493,ENSG00000172493.20,7.698948229,0.008877763,1.006172569,2.36E-07,2.87E-05,0.000124313,AFF1
ENSG00000179869,ENSG00000179869.14,3.884157533,0.031080064,1.021776786,2.35E-07,2.87E-05,0.000124313,ABCA13
ENSG00000183691,ENSG00000183691.4,1.591084666,-0.03018064,0.979297672,2.25E-07,2.77E-05,0.000124313,NOG
ENSG00000185880,ENSG00000185880.12,6.130011763,0.008481502,1.005896244,1.37E-07,1.84E-05,0.000124313,TRIM69
ENSG00000196123,ENSG00000196123.12,1.778702134,0.01307358,1.009103098,1.22E-07,1.67E-05,0.000124313,MATCAP1
ENSG00000203780,ENSG00000203780.10,0.293734651,0.018384918,1.012824998,2.04E-07,2.56E-05,0.000124313,FANK1
ENSG00000204397,ENSG00000204397.7,5.033317239,0.01313748,1.009147795,1.63E-07,2.14E-05,0.000124313,CARD16
ENSG00000205837,ENSG00000205837.7,-1.169365339,0.023449966,1.016387097,1.73E-07,2.25E-05,0.000124313,LINC00487
ENSG00000239961,ENSG00000239961.2,1.152716598,-0.02193327,0.984911998,2.21E-07,2.73E-05,0.000124313,LILRA4
ENSG00000240225,ENSG00000240225.10,3.37401497,-0.011507455,0.992055367,2.38E-07,2.89E-05,0.000124313,ZNF542P
ENSG00000249309,ENSG00000249309.1,2.1252119,0.02009714,1.014027755,1.86E-07,2.38E-05,0.000124313,
ENSG00000254420,ENSG00000254420.1,-1.663079936,0.014852093,1.010347859,1.92E-07,2.44E-05,0.000124313,
ENSG00000254481,ENSG00000254481.1,0.482700879,-0.020781445,0.98569865,2.37E-07,2.88E-05,0.000124313,PTP4A2P2
ENSG00000257322,ENSG00000257322.5,0.293138857,0.018252024,1.012731706,2.10E-07,2.63E-05,0.000124313,
ENSG00000274173,ENSG00000274173.1,1.408615527,0.031741472,1.02224533,1.61E-07,2.11E-05,0.000124313,LINC02967
ENSG00000280832,ENSG00000280832.1,3.788201005,0.017061731,1.011896498,1.76E-07,2.28E-05,0.000124313,GSEC
ENSG00000023909,ENSG00000023909.9,4.526238664,0.008628303,1.005998604,2.56E-07,3.06E-05,0.000141749,GCLM
ENSG00000138646,ENSG00000138646.8,5.588755145,0.025569379,1.017881334,2.73E-07,3.22E-05,0.000141749,HERC5
ENSG00000139364,ENSG00000139364.10,-1.431422588,-0.016956616,0.988315371,2.77E-07,3.26E-05,0.000141749,TMEM132B
ENSG00000156206,ENSG00000156206.13,1.222493688,-0.019602876,0.986504217,2.73E-07,3.22E-05,0.000141749,CFAP161
ENSG00000163430,ENSG00000163430.11,2.83936379,-0.025325441,0.982598921,2.81E-07,3.30E-05,0.000141749,FSTL1
ENSG00000175894,ENSG00000175894.14,-0.352561569,-0.026010628,0.98213236,2.71E-07,3.20E-05,0.000141749,TSPEAR
ENSG00000179918,ENSG00000179918.18,4.652508743,0.006294559,1.004372588,2.40E-07,2.91E-05,0.000141749,SEPHS2
ENSG00000183621,ENSG00000183621.15,5.136626445,0.012326121,1.008580419,2.85E-07,3.33E-05,0.000141749,ZNF438
ENSG00000196873,ENSG00000196873.15,2.919610639,0.010738121,1.007470867,2.67E-07,3.16E-05,0.000141749,ZNG1C
ENSG00000211689,ENSG00000211689.7,4.608958837,-0.016837398,0.988397044,2.46E-07,2.97E-05,0.000141749,TRGC1
ENSG00000226510,ENSG00000226510.1,-1.862079215,0.012278985,1.008547467,2.75E-07,3.24E-05,0.000141749,UPK1A-AS1
ENSG00000088827,ENSG00000088827.12,2.249372217,0.035358717,1.024811604,4.36E-07,4.84E-05,0.000345952,SIGLEC1
ENSG00000097033,ENSG00000097033.14,7.579799044,0.008121343,1.00564516,3.80E-07,4.29E-05,0.000345952,SH3GLB1
ENSG00000111331,ENSG00000111331.12,5.987373077,0.028141439,1.019697648,3.08E-07,3.57E-05,0.000345952,OAS3
ENSG00000113615,ENSG00000113615.12,5.037317983,0.005580419,1.003875542,3.89E-07,4.39E-05,0.000345952,SEC24A
ENSG00000136193,ENSG00000136193.16,5.214929811,-0.010679447,0.992624902,4.06E-07,4.55E-05,0.000345952,SCRN1
ENSG00000162434,ENSG00000162434.11,9.426958905,-0.007500064,0.994814841,2.85E-07,3.33E-05,0.000345952,JAK1
ENSG00000164116,ENSG00000164116.16,3.493032369,-0.015635464,0.989220838,2.97E-07,3.45E-05,0.000345952,GUCY1A1
ENSG00000172936,ENSG00000172936.12,6.89481155,0.011543384,1.00803336,4.24E-07,4.73E-05,0.000345952,MYD88
ENSG00000177409,ENSG00000177409.11,7.953315276,0.015529168,1.01082214,4.20E-07,4.69E-05,0.000345952,SAMD9L
ENSG00000179542,ENSG00000179542.15,2.663163316,0.015177757,1.010575954,3.66E-07,4.16E-05,0.000345952,SLITRK4
ENSG00000183762,ENSG00000183762.12,4.713615399,0.024918231,1.017422025,3.97E-07,4.47E-05,0.000345952,KREMEN1
ENSG00000197448,ENSG00000197448.13,7.180708115,0.005953414,1.004135119,4.31E-07,4.80E-05,0.000345952,GSTK1
ENSG00000211890,ENSG00000211890.3,1.168109746,0.03293759,1.02309321,4.31E-07,4.79E-05,0.000345952,IGHA2
ENSG00000215196,ENSG00000215196.4,0.96413739,0.023242829,1.016241179,4.00E-07,4.50E-05,0.000345952,BASP1-AS1
