geneID,geneID2,base_mean,coeff_log2,coeff_natural,pvalue,qval,FDR,gene_symbol
ENSG00000167633,ENSG00000167633.18,0.666507851,-1.047156421,0.483921043,3.17E-10,1.53E-08,1.33E-07,KIR3DL1
ENSG00000170515,ENSG00000170515.13,4.716533515,0.38520936,1.306049304,4.09E-10,1.91E-08,1.33E-07,PA2G4
ENSG00000171291,ENSG00000171291.8,4.40150436,-0.414813532,0.750116441,4.41E-10,2.04E-08,1.33E-07,ZNF439
ENSG00000171766,ENSG00000171766.15,1.793099123,-0.662018635,0.631993386,4.04E-10,1.89E-08,1.33E-07,GATM
ENSG00000172493,ENSG00000172493.20,7.700076532,0.320566487,1.248820813,3.45E-10,1.65E-08,1.33E-07,AFF1
ENSG00000177565,ENSG00000177565.16,7.911290628,0.246746468,1.186528264,3.64E-10,1.73E-08,1.33E-07,TBL1XR1
ENSG00000179593,ENSG00000179593.15,-0.26858337,-0.831109059,0.562096969,2.30E-10,1.15E-08,1.33E-07,ALOX15B
ENSG00000185271,ENSG00000185271.7,-0.187973542,-0.733480139,0.601451312,2.76E-10,1.35E-08,1.33E-07,KLHL33
ENSG00000196792,ENSG00000196792.11,5.39872937,0.229864808,1.172725051,4.44E-10,2.05E-08,1.33E-07,STRN3
ENSG00000197860,ENSG00000197860.9,5.858140492,0.285883013,1.21915623,2.76E-10,1.35E-08,1.33E-07,SGTB
ENSG00000198814,ENSG00000198814.12,6.765059872,0.527776787,1.441705795,4.13E-10,1.93E-08,1.33E-07,GK
ENSG00000203721,ENSG00000203721.6,2.745946763,0.542460101,1.456453964,2.85E-10,1.39E-08,1.33E-07,LINC00862
ENSG00000213096,ENSG00000213096.10,4.311750145,0.480986807,1.395698001,2.85E-10,1.39E-08,1.33E-07,ZNF254
ENSG00000230817,ENSG00000230817.5,-1.173203893,0.726069338,1.654126235,2.46E-10,1.22E-08,1.33E-07,LINC01362
ENSG00000231233,ENSG00000231233.1,0.992109308,0.711293154,1.637271021,3.74E-10,1.77E-08,1.33E-07,CFAP58-DT
ENSG00000241258,ENSG00000241258.6,4.874372629,-0.195795709,0.873091216,2.44E-10,1.21E-08,1.33E-07,CRCP
ENSG00000243806,ENSG00000243806.1,1.353957586,0.682426525,1.604836723,2.51E-10,1.24E-08,1.33E-07,RPL7P18
ENSG00000251429,ENSG00000251429.1,0.650881358,0.756951504,1.689915962,4.09E-10,1.91E-08,1.33E-07,AIDAP2
ENSG00000251442,ENSG00000251442.5,2.436749319,0.577803157,1.492574721,3.30E-10,1.58E-08,1.33E-07,LINC01094
ENSG00000259956,ENSG00000259956.1,6.347535997,-0.196790073,0.872489653,3.04E-10,1.48E-08,1.33E-07,RBM15B
ENSG00000261253,ENSG00000261253.2,0.85647839,-0.806146504,0.571907407,3.76E-10,1.78E-08,1.33E-07,
ENSG00000262636,ENSG00000262636.1,0.283918213,0.741480426,1.671890575,4.19E-10,1.95E-08,1.33E-07,
ENSG00000278829,ENSG00000278829.1,4.282093084,0.334430072,1.260879208,2.33E-10,1.16E-08,1.33E-07,
ENSG00000047597,ENSG00000047597.5,6.181099548,0.925591464,1.899462808,4.90E-10,2.23E-08,1.77E-07,XK
ENSG00000099337,ENSG00000099337.4,4.52732951,-0.281075833,0.822977086,5.08E-10,2.30E-08,1.77E-07,KCNK6
ENSG00000111249,ENSG00000111249.13,-0.168399453,-0.711321862,0.610760277,4.95E-10,2.25E-08,1.77E-07,CUX2
ENSG00000112511,ENSG00000112511.17,5.138978585,-0.303927665,0.810044087,4.82E-10,2.20E-08,1.77E-07,PHF1
ENSG00000114993,ENSG00000114993.16,-0.164802115,-0.68418947,0.622355378,5.29E-10,2.39E-08,1.77E-07,RTKN
ENSG00000139517,ENSG00000139517.7,4.499895884,0.304591802,1.235069135,5.38E-10,2.42E-08,1.77E-07,LNX2
ENSG00000142444,ENSG00000142444.6,4.189057306,-0.239660477,0.846944608,5.51E-10,2.47E-08,1.77E-07,TIMM29
ENSG00000143797,ENSG00000143797.11,6.997098395,0.485013788,1.399599241,4.97E-10,2.26E-08,1.77E-07,MBOAT2
ENSG00000147202,ENSG00000147202.17,6.023159501,0.231367903,1.17394751,4.78E-10,2.19E-08,1.77E-07,DIAPH2
ENSG00000152332,ENSG00000152332.15,8.348704889,0.217018679,1.162329156,5.39E-10,2.43E-08,1.77E-07,UHMK1
ENSG00000163444,ENSG00000163444.11,5.831848437,0.256032218,1.194189855,5.48E-10,2.46E-08,1.77E-07,TMEM183A
ENSG00000168405,ENSG00000168405.15,5.154326628,0.250312827,1.189465005,4.51E-10,2.08E-08,1.77E-07,CMAHP
ENSG00000182518,ENSG00000182518.13,2.078259544,0.486401131,1.40094579,5.15E-10,2.33E-08,1.77E-07,FAM104B
ENSG00000196455,ENSG00000196455.7,6.299647901,-0.135627882,0.910273583,4.93E-10,2.25E-08,1.77E-07,PIK3R4
ENSG00000233038,ENSG00000233038.5,3.934697202,-0.645549812,0.639249126,5.37E-10,2.42E-08,1.77E-07,PTPRN2-AS1
ENSG00000254420,ENSG00000254420.1,-1.661251686,0.527682805,1.44161188,4.93E-10,2.24E-08,1.77E-07,
ENSG00000262879,ENSG00000262879.5,3.437616253,-0.326132392,0.797672037,5.19E-10,2.35E-08,1.77E-07,
ENSG00000278434,ENSG00000278434.1,1.450015022,-0.526123282,0.694418225,5.12E-10,2.32E-08,1.77E-07,
ENSG00000101161,ENSG00000101161.7,6.299007813,-0.360279591,0.779013594,5.54E-10,2.48E-08,2.01E-07,PRPF6
ENSG00000143149,ENSG00000143149.12,5.816930181,-0.251603449,0.83996234,5.65E-10,2.53E-08,2.01E-07,ALDH9A1
ENSG00000085063,ENSG00000085063.14,5.73507978,0.36574196,1.288544142,6.12E-10,2.71E-08,2.51E-07,CD59
ENSG00000133884,ENSG00000133884.9,5.13338987,-0.329835571,0.795627159,5.84E-10,2.60E-08,2.51E-07,DPF2
ENSG00000164096,ENSG00000164096.12,6.363529088,0.271271267,1.206870824,5.78E-10,2.58E-08,2.51E-07,C4orf3
ENSG00000167264,ENSG00000167264.17,4.725681568,-0.291483239,0.817061603,6.04E-10,2.68E-08,2.51E-07,DUS2
ENSG00000198732,ENSG00000198732.10,-1.190623994,-0.627286211,0.647393053,5.94E-10,2.64E-08,2.51E-07,SMOC1
ENSG00000023902,ENSG00000023902.13,7.263609706,-0.301723628,0.811282555,6.59E-10,2.90E-08,2.68E-07,PLEKHO1
